id,origem,tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
90378933-561e-4acd-95ca-d14035de05b1,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,55,23,2,1,0.0,498000.0,2025-04-23 23:21:12.418710
f1e36f07-0235-410e-bfe6-b5f13c63cf45,Chaves na Mão,Apartamento,Praia do Futuro,SER7,Não,Sim,38,2,1,1,10.0,243000.0,2025-04-23 23:21:12.418710
c78bc999-14d8-4537-b466-a02148b2e2ce,Chaves na Mão,Apartamento,Praia do Futuro,Outros,Não,Não,53,23,2,1,0.0,418000.0,2025-04-23 23:21:12.418710
dedc92ac-d3ea-4531-b66c-5fd29c601c38,Chaves na Mão,Apartamento,Papicu,SER2,Não,Não,100,3,3,1,760.0,350000.0,2025-04-23 23:21:12.418710
a210686a-356b-4c9a-aa10-f471167f4491,Chaves na Mão,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,68,3,2,2,900.0,280000.0,2025-04-23 23:21:12.418710
bd7d420d-1598-4fc4-9297-f434644d139e,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,143,3,3,3,1263.0,1290000.0,2025-04-23 23:21:12.418710
e0853982-33ad-4f6a-a9dc-dd28614dc9ca,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,292,4,1,4,0.0,3200000.0,2025-04-23 23:21:12.418710
f917a352-bf79-4e79-86bb-3c324de256e0,Chaves na Mão,Apartamento,Aldeota,SER2,Sim,Não,67,1,1,1,1250.0,715000.0,2025-04-23 23:21:12.418710
f7601566-6e40-42c7-8aef-64e2ea5151ba,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,124,3,3,2,1425.0,650000.0,2025-04-23 23:21:12.418710
6a258006-e0c0-4db5-badf-2773432b8935,Chaves na Mão,Apartamento,Fátima,SER4,Não,Não,96,3,4,2,960.0,1150000.0,2025-04-23 23:21:12.418710
06992b66-23ae-464d-a70b-7ef32d08abc6,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,76,3,2,3,780.0,750000.0,2025-04-23 23:21:12.418710
10ac0a80-5e4e-435f-9d3b-7681abe926f3,Chaves na Mão,Apartamento,Praia de Iracema,SER12,Sim,Sim,54,2,2,1,0.0,700000.0,2025-04-23 23:21:12.418710
65998483-43fe-49ce-93c4-21a397a1fa90,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,253,4,5,4,3000.0,2199900.0,2025-04-23 23:21:12.418710
9be09542-8d77-43d6-84c9-f3d77c0bb1ef,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,99,3,3,1,960.0,320000.0,2025-04-23 23:21:12.418710
83504963-aef9-47ef-901e-f26423b93de3,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,165,3,5,3,2150.0,1800000.0,2025-04-23 23:21:12.418710
8c4dabf3-235f-4548-8f3a-d497c67b4276,Chaves na Mão,Apartamento,Aldeota,SER2,Sim,Não,136,3,5,2,1150.0,1300000.0,2025-04-23 23:21:12.418710
0587dfd3-edbc-4ad9-9ff1-b93c2b736edb,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,73,3,2,2,890.0,680000.0,2025-04-23 23:21:12.418710
8d74170a-8eee-4fc6-a00f-8ba006a5c289,Chaves na Mão,Apartamento,Parque Iracema,SER6,Não,Não,71,2,2,2,650.0,550000.0,2025-04-23 23:21:12.418710
bcb6e478-f108-421e-bb11-7e36466a48e8,Chaves na Mão,Apartamento,Edson Queiroz,SER7,Não,Não,54,2,2,1,358.0,648209.0,2025-04-23 23:21:12.418710
a7844d20-210d-47ea-977e-b4d4e4bef3c7,Chaves na Mão,Apartamento,Damas,SER4,Não,Não,94,4,1,1,0.0,200000.0,2025-04-23 23:21:12.418710
65f76a48-c58d-40e6-81de-0a20b817462d,Chaves na Mão,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,111,4,4,2,800.0,1050000.0,2025-04-23 23:21:12.418710
4739e445-fe29-4ed7-b876-63b4060f9b79,Chaves na Mão,Apartamento,Dionisio Torres,SER2,Não,Não,121,3,4,3,950.0,750000.0,2025-04-23 23:21:12.418710
92a21bcb-55f2-41e0-8507-ee65c6039cdb,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,40,1,1,1,300.0,569000.0,2025-04-23 23:21:12.418710
b7dd0a22-764a-42ab-a6ed-6c0c919666a2,Chaves na Mão,Apartamento,São Gerardo,SER3,Não,Não,51,2,2,1,0.0,334000.0,2025-04-23 23:21:12.418710
f7eb6302-1191-4dc1-ae25-ce0ce05776b2,Chaves na Mão,Apartamento,Messejana,SER6,Não,Não,72,3,2,2,480.0,420000.0,2025-04-23 23:21:12.418710
ae0c5d64-2097-4d2f-be4e-27abca8027ac,Chaves na Mão,Apartamento,Paupina,SER6,Não,Não,41,2,1,1,300.0,215000.0,2025-04-23 23:21:12.418710
058e6169-d18a-484b-b12b-9c97278cdf1a,Chaves na Mão,Apartamento,Papicu,SER2,Não,Não,82,3,3,1,890.0,399000.0,2025-04-23 23:21:12.418710
5659a14e-191e-44f9-bbb0-1d805b0d2fda,Chaves na Mão,Apartamento,Papicu,SER2,Não,Não,69,3,3,1,650.0,530000.0,2025-04-23 23:21:12.418710
9e5dc900-933b-434c-a59f-d14926ef78f0,Chaves na Mão,Apartamento,Praia do Futuro,SER7,Não,Sim,49,2,2,1,400.0,340000.0,2025-04-23 23:21:12.418710
90cd8e1c-cbf1-4896-821f-ea1d57bbd476,Chaves na Mão,Apartamento,Varjota,SER2,Não,Não,89,3,3,2,0.0,1163371.0,2025-04-23 23:21:12.418710
cc1c17d6-5f68-4af9-a30e-23cf5d996e02,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,518,4,5,5,3200.0,6500000.0,2025-04-23 23:21:12.418710
3f6a6038-d4ca-41c3-9db1-9d2a146751ea,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,96,2,3,2,950.0,950000.0,2025-04-23 23:21:12.418710
ac8429b2-cadd-46b2-a2c3-3db801c40d91,Chaves na Mão,Apartamento,Passaré,SER8,Não,Não,58,3,1,2,320.0,350000.0,2025-04-23 23:21:12.418710
97a5c29d-cb63-434e-8ddc-d704e8d77b09,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,263,4,1,2,1899.0,3100000.0,2025-04-23 23:21:12.418710
1990fba7-c83a-4fcb-b5fe-491601f88e7a,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,73,3,2,2,700.0,520000.0,2025-04-23 23:21:12.418710
679c0060-cf71-4d52-a002-e64c37834c9d,Chaves na Mão,Apartamento,Aldeota,SER2,Sim,Não,330,4,5,4,1800.0,1800000.0,2025-04-23 23:21:12.418710
39899737-7c87-4b36-9d4c-25e61cc543c0,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,73,3,2,2,625.0,800000.0,2025-04-23 23:21:12.418710
02d7f1e7-1cce-4b30-96ee-07da9c9b86ad,Chaves na Mão,Apartamento,Parquelândia,SER3,Não,Não,77,3,3,2,535.0,590000.0,2025-04-23 23:21:12.418710
4ece01c1-88d7-4d7f-97d1-a21f91e2e84d,Chaves na Mão,Apartamento,Dionisio Torres,SER2,Não,Não,118,3,4,2,1025.0,1180000.0,2025-04-23 23:21:12.418710
eb5e98c4-ee0c-4aaa-86b8-158c7b7a92c2,Chaves na Mão,Apartamento,Jangurussu,SER9,Não,Não,45,2,1,1,0.0,120000.0,2025-04-23 23:21:12.418710
06af2e9b-b1c1-4822-bc8f-8a6c627c82f3,Chaves na Mão,Apartamento,Cambeba,SER6,Não,Não,129,3,4,2,179.0,699000.0,2025-04-23 23:21:12.418710
bf70b5ac-6c7d-4e82-90cf-e139fb869217,Chaves na Mão,Apartamento,Praia de Iracema,SER12,Sim,Sim,125,3,4,1,900.0,315000.0,2025-04-23 23:21:12.418710
