id,origem,tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
97b513b9-c548-4548-ae23-fbe2751ae4ef,Chaves na Mão,Casa,Papicu,SER2,Não,Não,250,3,4,5,0.0,690000.0,2025-04-23 23:21:10.145919
895f2a82-bb96-4ef4-9767-6522e9435cb1,Chaves na Mão,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,151,3,4,4,1850.0,699990.0,2025-04-23 23:21:10.145919
3efef430-497f-4db5-9279-0a4720b5e053,Chaves na Mão,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,130,4,3,2,0.0,590000.0,2025-04-23 23:21:10.145919
cf77a52d-42cc-4350-81ce-eae5eeefbb65,Chaves na Mão,Casa,Patriolino Ribeiro,SER7,Não,Não,700,4,6,12,1500.0,2640000.0,2025-04-23 23:21:10.145919
fe6acfcd-daad-4c1c-9ec8-40d776b579d0,Chaves na Mão,Casa,Cambeba,SER6,Não,Não,226,4,4,3,140.0,850000.0,2025-04-23 23:21:10.145919
c4349a64-1a5c-47a2-bd50-3f9c0bf877b7,Chaves na Mão,Casa,Prefeito José Walter,SER8,Não,Não,200,5,3,1,0.0,270000.0,2025-04-23 23:21:10.145919
4f2523be-900b-40fd-ab8f-629a185aaeab,Chaves na Mão,Casa,Passaré,SER8,Não,Não,120,3,3,2,50.0,480000.0,2025-04-23 23:21:10.145919
f3496fe1-499a-4d53-aacf-57a86067975c,Chaves na Mão,Casa,Parquelândia,SER3,Não,Não,290,7,5,3,0.0,580000.0,2025-04-23 23:21:10.145919
59b74203-cb05-4784-84d5-7b1a27c05abc,Chaves na Mão,Casa,Parque Manibura,SER6,Não,Não,192,4,5,4,0.0,660000.0,2025-04-23 23:21:10.145919
03aa9698-d1f5-407e-b56e-d23e9a4712bc,Chaves na Mão,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,128,2,2,2,0.0,320000.0,2025-04-23 23:21:10.145919
9a2b4b3d-d581-4ec4-96aa-7dcf3c2da00c,Chaves na Mão,Casa,Papicu,SER2,Não,Não,149,3,3,3,85.0,470000.0,2025-04-23 23:21:10.145919
c4180e85-c085-4ebd-b498-87e63a8508db,Chaves na Mão,Casa,Parquelândia,SER3,Não,Não,250,4,5,8,0.0,1500000.0,2025-04-23 23:21:10.145919
6bea7f80-deac-4a9f-8d55-45001e3f98e6,Chaves na Mão,Casa,Centro,SER12,Não,Não,960,9,9,4,0.0,2350000.0,2025-04-23 23:21:10.145919
2f229378-e060-40bf-9cf5-f7a30dc74ca0,Chaves na Mão,Casa,Lagoa Redonda,SER6,Não,Não,98,3,3,4,0.0,449000.0,2025-04-23 23:21:10.145919
f9b21195-65a5-4e83-b309-a7b9f8d3422a,Chaves na Mão,Casa,Lagoa Redonda,SER6,Não,Não,560,3,3,6,0.0,2350000.0,2025-04-23 23:21:10.145919
02e0234c-1378-49fb-b0b4-4b7c543a43f8,Chaves na Mão,Casa,Parque Santa Rosa,Outros,Não,Não,100,3,3,3,0.0,299000.0,2025-04-23 23:21:10.145919
b2b7772e-2dcf-470d-8a6f-9af654673a33,Chaves na Mão,Casa,Praia do Futuro,SER7,Não,Sim,419,8,6,3,778.0,1200000.0,2025-04-23 23:21:10.145919
ce42d11e-6706-4518-b0be-6607101de67f,Chaves na Mão,Casa,Henrique Jorge,SER11,Não,Não,400,3,1,2,0.0,650000.0,2025-04-23 23:21:10.145919
ee5d5440-c4be-4dae-a9d5-2dba792e28d6,Chaves na Mão,Casa,Eusébio,Outros,Não,Não,174,3,4,2,1250.0,1140000.0,2025-04-23 23:21:10.145919
2efaf9a8-48e9-40f0-b1d1-ba30822ed637,Chaves na Mão,Casa,Messejana,SER6,Não,Não,472,1,2,8,0.0,900000.0,2025-04-23 23:21:10.145919
3f577199-9d54-4981-a588-698a649ec66f,Chaves na Mão,Casa,Edson Queiroz,SER7,Não,Não,410,5,7,8,0.0,980000.0,2025-04-23 23:21:10.145919
9c0d029f-bcb8-4913-90eb-0cf542c87f89,Chaves na Mão,Casa,Siqueira,SER5,Não,Não,180,3,2,3,0.0,250000.0,2025-04-23 23:21:10.145919
c35df697-74ce-4c01-8063-355cdfb9532f,Chaves na Mão,Casa,São Bento,SER6,Não,Não,118,3,3,2,0.0,405000.0,2025-04-23 23:21:10.145919
b0dedccd-393f-40ab-b5c7-da48b67474d7,Chaves na Mão,Casa,Parque Dois Irmãos,SER8,Não,Não,150,3,1,1,0.0,250000.0,2025-04-23 23:21:10.145919
9b711d5e-577c-4b33-a4c0-69666f87dc5f,Chaves na Mão,Casa,Cidade dos Funcionários,SER6,Não,Não,350,9,7,6,0.0,820000.0,2025-04-23 23:21:10.145919
05705080-9c48-4959-9ede-68a646090552,Chaves na Mão,Casa,Edson Queiroz,SER7,Não,Não,241,4,4,3,0.0,690000.0,2025-04-23 23:21:10.145919
25647234-ae01-4664-b312-98e3054947ff,Chaves na Mão,Casa,Dionisio Torres,SER2,Não,Não,420,6,4,4,458.0,1800000.0,2025-04-23 23:21:10.145919
1f356393-9060-46bb-a2dd-5c32f5ac1295,Chaves na Mão,Casa,Jangurussu,SER9,Não,Não,116,3,4,3,0.0,435000.0,2025-04-23 23:21:10.145919
1fd5b341-1947-4089-a85a-d3741603f800,Chaves na Mão,Casa,Rodolfo Teófilo,SER3,Não,Não,231,3,4,3,1.0,1100000.0,2025-04-23 23:21:10.145919
58477d1b-f888-4612-af5e-e2a88448cca0,Chaves na Mão,Casa,Edson Queiroz,SER7,Não,Não,162,4,4,3,0.0,715000.0,2025-04-23 23:21:10.145919
719e2382-487a-4023-8696-103bd8be9b41,Chaves na Mão,Casa,Itaperi,SER8,Não,Não,864,6,7,16,305.0,980000.0,2025-04-23 23:21:10.145919
5dabee5e-6895-49af-a6d9-020a5f2564cc,Chaves na Mão,Casa,Cidade dos Funcionários,SER6,Não,Não,287,5,7,4,0.0,950000.0,2025-04-23 23:21:10.145919
65664185-74d6-4a60-9a59-411e5c726e82,Chaves na Mão,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,114,4,3,3,1800.0,429000.0,2025-04-23 23:21:10.145919
a7c4d293-a582-4431-8ab0-2a8e3b303b7f,Chaves na Mão,Casa,Rodolfo Teófilo,SER3,Não,Não,350,3,3,5,0.0,900000.0,2025-04-23 23:21:10.145919
61964e31-3469-499d-97d6-da240e9e275b,Chaves na Mão,Casa,Parque Manibura,SER6,Não,Não,374,4,5,6,2070.0,980000.0,2025-04-23 23:21:10.145919
745820df-cbab-42c9-b63c-24e06a90aae1,Chaves na Mão,Casa,Cidade dos Funcionários,SER6,Não,Não,226,3,3,4,0.0,780000.0,2025-04-23 23:21:10.145919
80cb348e-e22f-4f18-a3d9-a56c14e96c0d,Chaves na Mão,Casa,Vicente Pinzon,SER2,Não,Não,194,4,4,6,1100.0,750000.0,2025-04-23 23:21:10.145919
13205d15-2baa-4190-8e61-ce26e1846190,Chaves na Mão,Casa,Parque Araxá,Outros,Não,Não,180,4,3,5,0.0,650000.0,2025-04-23 23:21:10.145919
6d9f63d0-44f1-42e2-96ad-08c3a1ae8e9e,Chaves na Mão,Casa,Cajazeiras,SER9,Não,Não,208,4,5,3,0.0,720000.0,2025-04-23 23:21:10.145919
862b8923-f7e1-4e66-b023-afb085882ab1,Chaves na Mão,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,200,4,5,3,0.0,790000.0,2025-04-23 23:21:10.145919
81cc3d24-a64a-4048-8bce-15830de15b18,Chaves na Mão,Casa,Mondubim,SER10,Não,Não,105,3,2,2,0.0,329000.0,2025-04-23 23:21:10.145919
a6260974-4386-4dac-9b52-5f07c2cdd2b6,Chaves na Mão,Casa,Meireles,SER2,Sim,Sim,350,3,2,4,0.0,2177500.0,2025-04-23 23:21:10.145919
f1a3128e-4a27-46c8-bd0c-fde3173f6056,Chaves na Mão,Casa,Parque Manibura,SER6,Não,Não,255,4,5,4,150.0,880000.0,2025-04-23 23:21:10.145919
f41a0a40-c768-47e2-89e4-d096c61b3cf4,Chaves na Mão,Casa,Parquelândia,SER3,Não,Não,479,4,5,6,0.0,990000.0,2025-04-23 23:21:10.145919
07f8aee3-a714-47be-8fae-84f9154de756,Chaves na Mão,Casa,Padre Andrade,SER3,Não,Não,620,6,3,4,0.0,680000.0,2025-04-23 23:21:10.145919
c1763e81-b882-4273-864e-d604a9fab94b,Chaves na Mão,Casa,Vila Velha,SER1,Não,Não,200,2,1,1,0.0,370000.0,2025-04-23 23:21:10.145919
45da4773-8da0-4d4c-b55f-d05c5cb3c604,Chaves na Mão,Casa,Jardim Cearense,SER10,Não,Não,160,4,2,3,0.0,780000.0,2025-04-23 23:21:10.145919
86a7a082-5186-4a38-a0fe-ea3d7a50b1aa,Chaves na Mão,Casa,Sabiaguaba,SER7,Não,Sim,237,3,4,3,1735.0,1400000.0,2025-04-23 23:21:10.145919
a055b824-72e1-4278-b4d6-8d75d40b38f5,Chaves na Mão,Casa,Jardim das Oliveiras,SER6,Não,Não,135,3,3,4,0.0,480000.0,2025-04-23 23:21:10.145919
32e9c66f-38d3-4403-981f-0b86fbd2121c,Chaves na Mão,Casa,Manoel Dias Branco,SER7,Não,Não,183,3,3,10,0.0,550000.0,2025-04-23 23:21:10.145919
