id,origem,tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
62f67701-dbbd-4d40-af84-97c280230596,Lopes,Apartamento,Meireles,SER2,Sim,Sim,253,5,6,5,0.0,4194400.0,2025-04-24 18:34:33.719432
cd065c5d-4c20-4a18-8c3f-2cc2d8f85f32,Lopes,Apartamento,Mucuripe,SER2,Não,Sim,333,4,5,4,3000.0,3200000.0,2025-04-24 18:34:33.719432
5ead582a-1138-4b0b-adb8-6031312b8d66,Lopes,Apartamento,Meireles,SER2,Sim,Sim,66,2,2,1,0.0,1990000.0,2025-04-24 18:34:33.719432
c726c973-3653-4221-895f-0b032d914b59,Lopes,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,44,1,1,1,577.0,450000.0,2025-04-24 18:34:33.719432
8046a063-d09b-4f8a-bbf3-fdfbef289391,Lopes,Apartamento,Passaré,SER8,Não,Não,63,3,2,2,436.0,420000.0,2025-04-24 18:34:33.719432
f94ac9d9-9579-4d33-8f91-718f136202b3,Lopes,Apartamento,Patriolino Ribeiro,SER7,Não,Não,169,3,4,3,1650.0,860000.0,2025-04-24 18:34:33.719432
a1be2c4e-3d36-4748-ac9d-6ccbb2c92388,Lopes,Apartamento,Cocó,SER7,Não,Não,138,4,4,3,1360.0,859000.0,2025-04-24 18:34:33.719432
d6942511-3932-4abe-9762-519747af619b,Lopes,Apartamento,Aldeota,SER2,Sim,Não,106,2,4,2,1438.0,1145000.0,2025-04-24 18:34:33.719432
2f0b5b7b-72b6-4f2c-9e2e-8dfd33c13f5c,Lopes,Apartamento,de Lourdes,SER2,Não,Não,126,3,5,2,1236.0,720000.0,2025-04-24 18:34:33.719432
6cd1772a-5fb8-439a-b29d-05fa693ede76,Lopes,Apartamento,Meireles,SER2,Sim,Sim,82,2,2,2,930.0,1970000.0,2025-04-24 18:34:33.719432
dc3227f1-8f27-4c06-98d4-ed5e4543f64d,Lopes,Apartamento,Meireles,SER2,Sim,Sim,460,5,7,5,3100.0,2500000.0,2025-04-24 18:34:33.719432
6fa5dc12-7ab8-4b4b-a002-6e8ee99acad7,Lopes,Apartamento,Aldeota,SER2,Sim,Não,98,4,3,2,875.0,940000.0,2025-04-24 18:34:33.719432
44c3bfec-069e-40d6-bd9d-797fec34a14a,Lopes,Apartamento,Vicente Pinzon,SER2,Não,Não,75,3,2,1,0.0,420000.0,2025-04-24 18:34:33.719432
0f1a06f8-f483-45e1-85e3-b80d4b3a5648,Lopes,Apartamento,Meireles,SER2,Sim,Sim,227,3,5,2,2000.0,1199000.0,2025-04-24 18:34:33.719432
367b417e-72ea-4a56-838b-cb2b9e32c134,Lopes,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,118,3,3,2,950.0,1180000.0,2025-04-24 18:34:33.719432
50c4b9b2-31cb-44e8-8e4a-7b268013a9a4,Lopes,Apartamento,Meireles,SER2,Sim,Sim,243,3,4,2,2934.0,1300000.0,2025-04-24 18:34:33.719432
3305a55a-7836-40e6-ae78-2e292c634434,Lopes,Apartamento,Salinas,Outros,Não,Não,109,3,3,2,850.0,1050000.0,2025-04-24 18:34:33.719432
e0768a78-48df-4fa1-ad92-be7a6eb98beb,Lopes,Apartamento,Cocó,SER7,Não,Não,80,3,3,2,1287.0,850000.0,2025-04-24 18:34:33.719432
5f064e20-e2f0-46f0-ab5e-6729d6d084f8,Lopes,Apartamento,Meireles,SER2,Sim,Sim,128,3,4,3,1442.0,1090000.0,2025-04-24 18:34:33.719432
8e22a099-db47-430a-8812-9e1e36bd0657,Lopes,Apartamento,Aldeota,SER2,Sim,Não,212,4,5,2,1480.0,700000.0,2025-04-24 18:34:33.719432
bed4ff0b-7c22-46d1-8345-62dfe1ed96cb,Lopes,Apartamento,Cocó,SER7,Não,Não,131,3,5,3,0.0,1490000.0,2025-04-24 18:34:33.719432
a1650b6b-3ab4-421d-a2ab-2912cce15c69,Lopes,Apartamento,de Lourdes,SER2,Não,Não,88,2,3,2,740.0,900000.0,2025-04-24 18:34:33.719432
6215bd90-6d01-48f9-a674-de761dc25249,Lopes,Apartamento,Meireles,SER2,Sim,Sim,354,5,6,4,2500.0,3700000.0,2025-04-24 18:34:33.719432
07a9e7f5-0ac8-417c-8a04-a063500b3f37,Lopes,Apartamento,Meireles,SER2,Sim,Sim,305,4,5,4,3300.0,1999000.0,2025-04-24 18:34:33.719432
3da94b3a-98e6-4eba-a704-4f3b672e7c07,Lopes,Apartamento,Meireles,SER2,Sim,Sim,189,3,4,3,2800.0,1600000.0,2025-04-24 18:34:33.719432
73663328-2c37-4d22-85fd-ff4767c01b32,Lopes,Apartamento,Presidente Kennedy,SER3,Não,Não,87,3,3,4,3165.0,750000.0,2025-04-24 18:34:33.719432
8797b601-e47d-41f7-a608-4e4cd606bb05,Lopes,Cobertura,Dionisio Torres,SER2,Não,Não,458,4,5,3,2600.0,2100000.0,2025-04-24 18:34:33.719432
4316e239-3813-4668-a389-a56a7cf69f1d,Lopes,Apartamento,Meireles,SER2,Sim,Sim,310,4,6,5,4100.0,3500000.0,2025-04-24 18:34:33.719432
b876ea34-a026-49d3-a990-f9d579a22b72,Lopes,Apartamento,Meireles,SER2,Sim,Sim,225,3,5,4,2500.0,2800000.0,2025-04-24 18:34:33.719432
efd30f41-5072-490f-8596-cdf56b7e9dda,Lopes,Apartamento,Fátima,SER4,Não,Não,130,3,5,3,1501.0,1450000.0,2025-04-24 18:34:33.719432
e52eee59-6e71-46e7-81d8-a4f3647d0979,Lopes,Apartamento,Meireles,SER2,Sim,Sim,325,4,6,5,7500.0,4700000.0,2025-04-24 18:34:33.719432
e682138a-8688-4ed9-aaa6-b28861b0826e,Lopes,Apartamento,Parquelândia,SER3,Não,Não,109,3,3,2,1100.0,460000.0,2025-04-24 18:34:33.719432
0bed620f-0d13-42d0-a548-6c0b0e25ede7,Lopes,Casa,Engenheiro Luciano Cavalcante,SER7,Não,Não,526,6,4,6,0.0,1600000.0,2025-04-24 18:34:33.719432
4dd8a796-5b05-41a6-a862-4f1d0888db3b,Lopes,Apartamento,Benfica,SER4,Sim,Não,68,3,2,2,737.0,690000.0,2025-04-24 18:34:33.719432
478b815d-f98f-4db9-8d29-3982f2f97fa3,Lopes,Apartamento,Meireles,SER2,Sim,Sim,65,2,1,0,0.0,910000.0,2025-04-24 18:34:33.719432
199f0987-35f6-49c5-8e96-acead91e9fd7,Lopes,Condomínio,José de Alencar,SER6,Não,Não,241,4,5,4,1800.0,1190000.0,2025-04-24 18:34:33.719432
7ebae1d7-966a-4e6c-983b-30984663e2a0,Lopes,Condomínio,Sabiaguaba,SER7,Não,Sim,148,4,5,3,1050.0,799000.0,2025-04-24 18:34:33.719432
1700f70d-33b2-4546-8328-0328af58a932,Lopes,Casa,Itaperi,SER8,Não,Não,285,3,3,4,0.0,450000.0,2025-04-24 18:34:33.719432
450d73fd-1d8c-4ef7-b1f5-27fde31a4f4b,Lopes,Apartamento,Papicu,SER2,Não,Não,182,3,2,2,2532.0,870000.0,2025-04-24 18:34:33.719432
acd3f8e9-5ab6-48a8-80d2-3b2db4ac3e51,Lopes,Apartamento,Aldeota,SER2,Sim,Não,210,3,3,4,3165.0,3090000.0,2025-04-24 18:34:33.719432
20600d43-6bcc-4c64-a4db-1ecec86cdc6b,Lopes,Apartamento,Presidente Kennedy,SER3,Não,Não,73,3,2,2,450.0,630000.0,2025-04-24 18:34:33.719432
003c13fc-66ce-4717-986e-338ef71e0c82,Lopes,Apartamento,Farias Brito,SER3,Sim,Não,80,3,2,1,710.0,280000.0,2025-04-24 18:34:33.719432
ac4a3e1d-819a-4d5b-9ec8-870ff98ca85a,Lopes,Apartamento,Meireles,SER2,Sim,Sim,235,3,3,3,2535.0,2450000.0,2025-04-24 18:34:33.719432
a9d28fd2-4bd0-4b41-9bd6-0358b3ae9af9,Lopes,Condomínio,de Lourdes,SER2,Não,Não,4000,4,6,4,2300.0,2990000.0,2025-04-24 18:34:33.719432
eb68ddbe-f522-4afa-8bfb-d51e91c6d76f,Lopes,Condomínio,Cidade dos Funcionários,SER6,Não,Não,175,3,4,2,1300.0,1200000.0,2025-04-24 18:34:33.719432
b7470573-c16e-4913-b3b9-8917539d12b5,Lopes,Apartamento,Presidente Kennedy,SER3,Não,Não,103,3,3,3,754.0,520000.0,2025-04-24 18:34:33.719432
069afe77-8c04-41b6-824b-e461513ef105,Lopes,Apartamento,Lagoa Redonda,SER6,Não,Não,68,3,2,1,50.0,239900.0,2025-04-24 18:34:33.719432
4ec89127-897d-44b3-a4a1-beae61017a04,Lopes,Apartamento,Meireles,SER2,Sim,Sim,378,4,5,2,2300.0,1398000.0,2025-04-24 18:34:33.719432
8e53871b-7dd9-41c5-8174-536109d1b477,Lopes,Apartamento,Praia do Futuro,Outros,Não,Não,35,1,1,1,640.0,375000.0,2025-04-24 18:34:33.719432
4d78e27f-a5cb-43e7-82cc-d91b138879fa,Lopes,Apartamento,Meireles,SER2,Sim,Sim,150,3,5,2,1650.0,850000.0,2025-04-24 18:34:33.719432
a97c12c0-4968-4ac0-b507-d8cff95a6c1e,Lopes,Apartamento,Passaré,SER8,Não,Não,47,2,2,1,350.0,350000.0,2025-04-24 18:34:33.719432
28f0f168-2cb8-4302-a744-c2e1df46c9df,Lopes,Apartamento,Cocó,SER7,Não,Não,97,3,4,2,876.0,510000.0,2025-04-24 18:34:33.719432
45d2e1aa-133e-4bd2-9ebd-151a5f94cb80,Lopes,Apartamento,Meireles,SER2,Sim,Sim,176,4,5,2,1600.0,700000.0,2025-04-24 18:34:33.719432
231cae9e-2218-4822-8a83-9e74f182ae07,Lopes,Apartamento,Cambeba,SER6,Não,Não,83,3,2,2,750.0,485000.0,2025-04-24 18:34:33.719432
905b423d-fdfd-4cff-93c0-309950455903,Lopes,Apartamento,Meireles,SER2,Sim,Sim,174,4,5,2,1890.0,1100000.0,2025-04-24 18:34:33.719432
e70d8598-3c45-4645-8fdf-fb83de4e51fa,Lopes,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,123,3,3,3,700.0,1439000.0,2025-04-24 18:34:33.719432
82ee84c1-efa1-4f51-9984-913c5eb01730,Lopes,Apartamento,Meireles,SER2,Sim,Sim,247,3,5,3,1800.0,1499000.0,2025-04-24 18:34:33.719432
96cba1cf-b115-40be-8894-a49f60062660,Lopes,Apartamento,Aldeota,SER2,Sim,Não,150,3,4,2,1400.0,799000.0,2025-04-24 18:34:33.719432
6c701db5-1389-40d1-b1d0-540ea5eb448e,Lopes,Apartamento,Cocó,SER7,Não,Não,134,3,4,2,1200.0,500000.0,2025-04-24 18:34:33.719432
3e185f6c-87ce-414d-9ddd-465de4e76c8b,Lopes,Apartamento,Aracapé,Outros,Não,Não,66,2,2,1,300.0,140000.0,2025-04-24 18:34:33.719432
8593d853-e57f-459a-adba-f890d22a6703,Lopes,Apartamento,Cocó,SER7,Não,Não,143,3,3,2,1550.0,450000.0,2025-04-24 18:34:33.719432
a69e506c-2549-4992-957a-557e168432da,Lopes,Apartamento,Dionisio Torres,SER2,Não,Não,97,4,4,2,1200.0,750000.0,2025-04-24 18:34:33.719432
6844072f-3ec6-4148-9ccc-4c2058432666,Lopes,Apartamento,Praia de Iracema,SER12,Sim,Sim,146,4,5,2,1400.0,1300000.0,2025-04-24 18:34:33.719432
