id,origem,tipo,localizacao,area,quartos,banheiros,vagas,condo,preco,preco_m2,timestamp_extracao
1c6e39eb-9e84-4440-b41a-7e2541ea65b0,Chaves na Mão,Apartamento,Praia do Futuro,38,2,1,1,10.0,243000.0,6394.74,2025-04-22 14:48:42.306516
f7d3045c-9ec2-4bc5-a4d8-e5f2a2fb24fa,Chaves na Mão,Apartamento,Papicu,100,3,3,1,760.0,350000.0,3500.0,2025-04-22 14:48:42.306516
913813f8-d4e2-4508-ad47-f9b6cc848a2d,Chaves na Mão,Apartamento,Engenheiro Luciano Cavalcante,68,3,2,2,900.0,280000.0,4117.65,2025-04-22 14:48:42.306516
597fdc1f-34fe-43a9-8dfe-ff1349fdb874,Chaves na Mão,Apartamento,Guararapes,143,3,3,3,1263.0,1290000.0,9020.98,2025-04-22 14:48:42.306516
7771f117-d9eb-40dc-a36a-02b85e75c633,Chaves na Mão,Apartamento,Guararapes,292,4,1,4,0.0,3200000.0,10958.9,2025-04-22 14:48:42.306516
a3b48402-88bc-4066-8378-d2a30979a796,Chaves na Mão,Apartamento,Aldeota,67,1,1,1,1250.0,715000.0,10671.64,2025-04-22 14:48:42.306516
7f4cea44-0ef3-4e9e-8ba7-a826f7c3c72d,Chaves na Mão,Apartamento,Meireles,124,3,3,2,1425.0,650000.0,5241.94,2025-04-22 14:48:42.306516
6386373f-cfe7-4655-8df3-3d6ff758b9dc,Chaves na Mão,Apartamento,Fátima,96,3,4,2,960.0,1150000.0,11979.17,2025-04-22 14:48:42.306516
bfdce5e4-b33f-4b00-8a0e-095af53f7dcf,Chaves na Mão,Apartamento,Guararapes,76,3,2,3,780.0,750000.0,9868.42,2025-04-22 14:48:42.306516
c57f7fcf-9acc-4e97-a8e1-4cc314e0e438,Chaves na Mão,Apartamento,Praia de Iracema,54,2,2,1,0.0,700000.0,12962.96,2025-04-22 14:48:42.306516
fc9b3474-1f74-4a92-b383-d7b24b9b6b0c,Chaves na Mão,Apartamento,Meireles,253,4,5,4,3000.0,2199900.0,8695.26,2025-04-22 14:48:42.306516
468ebbee-d71c-4f92-8ab4-fd855a1c4880,Chaves na Mão,Apartamento,Cocó,99,3,3,1,960.0,320000.0,3232.32,2025-04-22 14:48:42.306516
a4929b2b-d623-4913-9cc5-194b8d8d026f,Chaves na Mão,Apartamento,Cocó,165,3,5,3,2150.0,1800000.0,10909.09,2025-04-22 14:48:42.306516
1501a05d-74c2-4878-ba22-86a33f6e9ce4,Chaves na Mão,Apartamento,Aldeota,136,3,5,2,1150.0,1300000.0,9558.82,2025-04-22 14:48:42.306516
c4a4007b-48f4-44ae-833d-344da9734ef4,Chaves na Mão,Apartamento,Meireles,73,3,2,2,890.0,680000.0,9315.07,2025-04-22 14:48:42.306516
96f09318-7138-4f67-8fbc-19beab5a61df,Chaves na Mão,Apartamento,Parque Iracema,71,2,2,2,650.0,550000.0,7746.48,2025-04-22 14:48:42.306516
65def0fa-fc44-47a8-b2a0-50b2c3772ced,Chaves na Mão,Apartamento,Edson Queiroz,54,2,2,1,358.0,648209.0,12003.87,2025-04-22 14:48:42.306516
