id,origem,tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
6c150692-8bff-491a-8de1-f683a718d332,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,55,23,2,1,0.0,498000.0,2025-04-23 23:07:00.795159
99845370-c8d1-4611-ba26-4af6b7598feb,Chaves na Mão,Apartamento,Praia do Futuro,SER7,Não,Sim,38,2,1,1,10.0,243000.0,2025-04-23 23:07:00.795159
e60ba80b-2fd3-40dc-ac71-f04051bcadf6,Chaves na Mão,Apartamento,Praia do Futuro,Outro,Não,Não,53,23,2,1,0.0,418000.0,2025-04-23 23:07:00.795159
d29785b4-c73e-40e1-9d40-fc4bbbf6345b,Chaves na Mão,Apartamento,Papicu,SER2,Não,Não,100,3,3,1,760.0,350000.0,2025-04-23 23:07:00.795159
925f5c6e-d574-47b6-beac-2a9a08625e3f,Chaves na Mão,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,68,3,2,2,900.0,280000.0,2025-04-23 23:07:00.795159
5758ae3a-a341-4e56-bcf6-e282327d539f,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,143,3,3,3,1263.0,1290000.0,2025-04-23 23:07:00.795159
b81d4b80-e4ee-4e9f-b3b8-36e43cdbabe4,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,292,4,1,4,0.0,3200000.0,2025-04-23 23:07:00.795159
3eb64959-d469-408a-b02c-6d5abc0b7503,Chaves na Mão,Apartamento,Aldeota,SER2,Sim,Não,67,1,1,1,1250.0,715000.0,2025-04-23 23:07:00.795159
d19b6baf-d882-40f6-b731-a6ab443d8309,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,124,3,3,2,1425.0,650000.0,2025-04-23 23:07:00.795159
9ef0a9bc-c746-4104-9f17-ef09acc08d0b,Chaves na Mão,Apartamento,Fátima,SER4,Não,Não,96,3,4,2,960.0,1150000.0,2025-04-23 23:07:00.795159
63127cb8-cb72-481f-af88-b17327acbb3c,Chaves na Mão,Apartamento,Guararapes,SER7,Não,Não,76,3,2,3,780.0,750000.0,2025-04-23 23:07:00.795159
f4945a3f-4fbc-4df8-a7b9-0102c11165be,Chaves na Mão,Apartamento,Praia de Iracema,SER12,Sim,Sim,54,2,2,1,0.0,700000.0,2025-04-23 23:07:00.795159
a1110a6d-acf5-483e-a6f7-07665de35d6f,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,253,4,5,4,3000.0,2199900.0,2025-04-23 23:07:00.795159
3a6d02c7-85cb-467f-a2c1-d0f33dc18f75,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,99,3,3,1,960.0,320000.0,2025-04-23 23:07:00.795159
c3a231fe-244b-42f0-a98a-88ec12817729,Chaves na Mão,Apartamento,Cocó,SER7,Não,Não,165,3,5,3,2150.0,1800000.0,2025-04-23 23:07:00.795159
f1cc912e-5cb2-44a6-82bf-6979c5500b00,Chaves na Mão,Apartamento,Aldeota,SER2,Sim,Não,136,3,5,2,1150.0,1300000.0,2025-04-23 23:07:00.795159
083fc353-7334-4577-86de-ba26a681bf40,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,73,3,2,2,890.0,680000.0,2025-04-23 23:07:00.795159
16693801-df70-4151-ba11-3cc6fd338e07,Chaves na Mão,Apartamento,Parque Iracema,SER6,Não,Não,71,2,2,2,650.0,550000.0,2025-04-23 23:07:00.795159
6bad3616-f476-4422-acdf-22881157efd5,Chaves na Mão,Apartamento,Edson Queiroz,SER7,Não,Não,54,2,2,1,358.0,648209.0,2025-04-23 23:07:00.795159
25f207f9-7a76-4f8c-aaeb-a643b18cf112,Chaves na Mão,Apartamento,Damas,SER4,Não,Não,94,4,1,1,0.0,200000.0,2025-04-23 23:07:00.795159
45b1e4ff-a1d7-45d0-b0e8-a9081621f773,Chaves na Mão,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,111,4,4,2,800.0,1050000.0,2025-04-23 23:07:00.795159
70a2c3e1-159e-4014-a8dc-8def2788023a,Chaves na Mão,Apartamento,Dionisio Torres,SER2,Não,Não,121,3,4,3,950.0,750000.0,2025-04-23 23:07:00.795159
55ee6fcd-7e59-411a-ba39-62dfbb825c2e,Chaves na Mão,Apartamento,Meireles,SER2,Sim,Sim,40,1,1,1,300.0,569000.0,2025-04-23 23:07:00.795159
