id,origem,tipo,localizacao,ser,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
59db1887-8f08-4bff-9e5b-7473c015c743,Chaves na Mão,Condomínio,Sapiranga,SER7,180,3,3,4,780.0,750000.0,2025-04-23 23:07:07.008526
cb4325d8-bb21-40d5-97f8-a955728f3a1c,Chaves na Mão,Condomínio,Edson Queiroz,SER7,150,3,4,3,980.0,490000.0,2025-04-23 23:07:07.008526
0cbeab49-7787-4256-ae6a-fbba2af1e98e,Chaves na Mão,Condomínio,Sapiranga,SER7,170,5,4,4,900.0,530000.0,2025-04-23 23:07:07.008526
4ba81c26-4102-4fb7-9351-90c61608b0e0,Chaves na Mão,Condomínio,Cajazeiras,SER9,212,4,5,4,800.0,950000.0,2025-04-23 23:07:07.008526
07f4624e-657a-4a6f-a24c-ac787d264a62,Chaves na Mão,Condomínio,Sapiranga,SER7,122,3,3,2,700.0,770000.0,2025-04-23 23:07:07.008526
d4c1c5ee-3fb0-4e08-9f1d-1df4d51da266,Chaves na Mão,Condomínio,Maraponga,SER10,233,4,4,2,650.0,2000000.0,2025-04-23 23:07:07.008526
08b56838-601a-47ba-843c-776d6a80c3ba,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,85,3,2,2,570.0,330000.0,2025-04-23 23:07:07.008526
3c678717-f5e6-4bf5-b743-c8aafd06980a,Chaves na Mão,Condomínio,de Lourdes,SER2,288,5,7,4,2300.0,2700000.0,2025-04-23 23:07:07.008526
91702093-0a51-4e75-8cfa-1981a14afff7,Chaves na Mão,Condomínio,Parque Manibura,SER6,170,3,4,3,800.0,620000.0,2025-04-23 23:07:07.008526
0714f7b5-ffee-407e-9937-22eebc6925dd,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,201,4,5,4,300.0,990000.0,2025-04-23 23:07:07.008526
2a66226f-f28f-4b3c-97df-318459876c97,Chaves na Mão,Condomínio,Passaré,SER8,140,3,3,3,700.0,440000.0,2025-04-23 23:07:07.008526
11e9904c-ba11-4f43-b93c-5a0f49ebebb0,Chaves na Mão,Condomínio,Parque Manibura,SER6,354,3,2,3,100.0,600000.0,2025-04-23 23:07:07.008526
1e71b820-2c5b-41a8-8fa1-2e656566fac8,Chaves na Mão,Condomínio,de Lourdes,SER2,334,4,6,4,2080.0,2890000.0,2025-04-23 23:07:07.008526
3b43a8b2-8584-4d9c-b93a-f003743a69b1,Chaves na Mão,Condomínio,Passaré,SER8,140,3,3,3,700.0,440000.0,2025-04-23 23:07:07.008526
79e5d816-dbbb-4308-8b8c-1652644c3799,Chaves na Mão,Condomínio,Manoel Dias Branco,SER7,98,3,2,2,700.0,379000.0,2025-04-23 23:07:07.008526
2c3a4359-1a61-4ab2-8ca6-ee20f9f2f0ea,Chaves na Mão,Condomínio,José de Alencar,SER6,205,4,4,2,1100.0,1050000.0,2025-04-23 23:07:07.008526
3ba80d6e-911f-4174-a0df-bb5eecc7b75d,Chaves na Mão,Condomínio,Passaré,SER8,72,3,2,2,500.0,295000.0,2025-04-23 23:07:07.008526
c62a38d2-083b-4cc3-9798-93f148f5857e,Chaves na Mão,Condomínio,Coité,Outro,244,4,6,4,2071.0,1490000.0,2025-04-23 23:07:07.008526
2cb7238a-8003-4b12-a81c-dbb424068ce0,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,186,4,5,3,1300.0,995000.0,2025-04-23 23:07:07.008526
