tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco
Apartamento,Meireles,SER2,1,1,253,5,6,5,0.0,4194400.0
Apartamento,Mucuripe,SER2,0,1,333,4,5,4,3000.0,3200000.0
Apartamento,Meireles,SER2,1,1,66,2,2,1,0.0,1990000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,44,1,1,1,577.0,450000.0
Apartamento,Passaré,SER8,0,0,63,3,2,2,436.0,420000.0
Apartamento,Patriolino Ribeiro,SER7,0,0,169,3,4,3,1650.0,860000.0
Apartamento,Cocó,SER7,0,0,138,4,4,3,1360.0,859000.0
Apartamento,Aldeota,SER2,1,0,106,2,4,2,1438.0,1145000.0
Apartamento,de Lourdes,SER2,0,0,126,3,5,2,1236.0,720000.0
Apartamento,Meireles,SER2,1,1,82,2,2,2,930.0,1970000.0
Apartamento,Meireles,SER2,1,1,460,5,7,5,3100.0,2500000.0
Apartamento,Aldeota,SER2,1,0,98,4,3,2,875.0,940000.0
Apartamento,Vicente Pinzon,SER2,0,0,75,3,2,1,0.0,420000.0
Apartamento,Meireles,SER2,1,1,227,3,5,2,2000.0,1199000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,118,3,3,2,950.0,1180000.0
Apartamento,Meireles,SER2,1,1,243,3,4,2,2934.0,1300000.0
Apartamento,Salinas,Outros,0,0,109,3,3,2,850.0,1050000.0
Apartamento,Cocó,SER7,0,0,80,3,3,2,1287.0,850000.0
Apartamento,Meireles,SER2,1,1,128,3,4,3,1442.0,1090000.0
Apartamento,Aldeota,SER2,1,0,212,4,5,2,1480.0,700000.0
Apartamento,Cocó,SER7,0,0,131,3,5,3,0.0,1490000.0
Apartamento,de Lourdes,SER2,0,0,88,2,3,2,740.0,900000.0
Apartamento,Meireles,SER2,1,1,354,5,6,4,2500.0,3700000.0
Apartamento,Meireles,SER2,1,1,305,4,5,4,3300.0,1999000.0
Apartamento,Meireles,SER2,1,1,189,3,4,3,2800.0,1600000.0
Apartamento,Presidente Kennedy,SER3,0,0,87,3,3,4,3165.0,750000.0
Apartamento,Meireles,SER2,1,1,310,4,6,5,4100.0,3500000.0
Apartamento,Meireles,SER2,1,1,225,3,5,4,2500.0,2800000.0
Apartamento,Fátima,SER4,0,0,130,3,5,3,1501.0,1450000.0
Apartamento,Meireles,SER2,1,1,325,4,6,5,7500.0,4700000.0
Apartamento,Parquelândia,SER3,0,0,109,3,3,2,1100.0,460000.0
Apartamento,Benfica,SER4,1,0,68,3,2,2,737.0,690000.0
Apartamento,Meireles,SER2,1,1,65,2,1,0,0.0,910000.0
Apartamento,Papicu,SER2,0,0,182,3,2,2,2532.0,870000.0
Apartamento,Aldeota,SER2,1,0,210,3,3,4,3165.0,3090000.0
Apartamento,Presidente Kennedy,SER3,0,0,73,3,2,2,450.0,630000.0
Apartamento,Farias Brito,SER3,1,0,80,3,2,1,710.0,280000.0
Apartamento,Meireles,SER2,1,1,235,3,3,3,2535.0,2450000.0
Apartamento,Presidente Kennedy,SER3,0,0,103,3,3,3,754.0,520000.0
Apartamento,Lagoa Redonda,SER6,0,0,68,3,2,1,50.0,239900.0
Apartamento,Meireles,SER2,1,1,378,4,5,2,2300.0,1398000.0
Apartamento,Praia do Futuro,Outros,0,0,35,1,1,1,640.0,375000.0
Apartamento,Meireles,SER2,1,1,150,3,5,2,1650.0,850000.0
Apartamento,Passaré,SER8,0,0,47,2,2,1,350.0,350000.0
Apartamento,Cocó,SER7,0,0,97,3,4,2,876.0,510000.0
Apartamento,Meireles,SER2,1,1,176,4,5,2,1600.0,700000.0
Apartamento,Cambeba,SER6,0,0,83,3,2,2,750.0,485000.0
Apartamento,Meireles,SER2,1,1,174,4,5,2,1890.0,1100000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,123,3,3,3,700.0,1439000.0
Apartamento,Meireles,SER2,1,1,247,3,5,3,1800.0,1499000.0
Apartamento,Aldeota,SER2,1,0,150,3,4,2,1400.0,799000.0
Apartamento,Cocó,SER7,0,0,134,3,4,2,1200.0,500000.0
Apartamento,Aracapé,Outros,0,0,66,2,2,1,300.0,140000.0
Apartamento,Cocó,SER7,0,0,143,3,3,2,1550.0,450000.0
Apartamento,Dionisio Torres,SER2,0,0,97,4,4,2,1200.0,750000.0
