id,origem,tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
1b2497c4-407e-45c8-a746-76441965ddb1,Lopes,Apartamento,Meireles,SER2,Sim,Sim,253,5,6,5,0.0,4194400.0,2025-04-23 23:07:03.115754
4f419a04-4d75-4601-adc6-7c125b9c131d,Lopes,Apartamento,Mucuripe,SER2,Não,Sim,333,4,5,4,3000.0,3200000.0,2025-04-23 23:07:03.115754
c78b3c70-55b4-4bf9-8e80-d41829f43c77,Lopes,Apartamento,Meireles,SER2,Sim,Sim,66,2,2,1,0.0,1990000.0,2025-04-23 23:07:03.115754
de104adc-4d12-4fa8-bfe9-2815951ddae6,Lopes,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,44,1,1,1,577.0,450000.0,2025-04-23 23:07:03.115754
cf638e82-54bf-4b87-b9b1-1b5221794dbc,Lopes,Apartamento,Passaré,SER8,Não,Não,63,3,2,2,436.0,420000.0,2025-04-23 23:07:03.115754
12efa89e-ee9f-41a8-ab9e-fc0a9391837a,Lopes,Apartamento,Patriolino Ribeiro,SER7,Não,Não,169,3,4,3,1650.0,860000.0,2025-04-23 23:07:03.115754
0fcfc73b-3a05-49c4-b85a-42554a6983ec,Lopes,Apartamento,Cocó,SER7,Não,Não,138,4,4,3,1360.0,859000.0,2025-04-23 23:07:03.115754
ddbf4d47-4555-4851-aa82-28484c40885a,Lopes,Apartamento,Aldeota,SER2,Sim,Não,106,2,4,2,1438.0,1145000.0,2025-04-23 23:07:03.115754
b1502a3b-cdd2-4607-9b4a-eae51658589f,Lopes,Apartamento,de Lourdes,SER2,Não,Não,126,3,5,2,1236.0,720000.0,2025-04-23 23:07:03.115754
042421b3-8fd0-44d6-abb5-2c4837940513,Lopes,Apartamento,Meireles,SER2,Sim,Sim,82,2,2,2,930.0,1970000.0,2025-04-23 23:07:03.115754
d94c6cca-2675-4517-93dc-5f48793e4010,Lopes,Apartamento,Meireles,SER2,Sim,Sim,460,5,7,5,3100.0,2500000.0,2025-04-23 23:07:03.115754
c5c4b17e-906b-45be-a48b-fe9ac8bdebef,Lopes,Apartamento,Aldeota,SER2,Sim,Não,98,4,3,2,875.0,940000.0,2025-04-23 23:07:03.115754
95f854e1-c91b-4237-a59a-8ddded1f493e,Lopes,Apartamento,Vicente Pinzon,SER2,Não,Não,75,3,2,1,0.0,420000.0,2025-04-23 23:07:03.115754
d2b2d222-1670-447f-a579-9c4937c80024,Lopes,Apartamento,Meireles,SER2,Sim,Sim,227,3,5,2,2000.0,1199000.0,2025-04-23 23:07:03.115754
4acc2b76-ad52-46a6-8914-b020fa8a7b2b,Lopes,Apartamento,Engenheiro Luciano Cavalcante,SER7,Não,Não,118,3,3,2,950.0,1180000.0,2025-04-23 23:07:03.115754
89d833f2-9dcd-4b30-8202-3b9e3276bc3c,Lopes,Apartamento,Meireles,SER2,Sim,Sim,243,3,4,2,2934.0,1300000.0,2025-04-23 23:07:03.115754
f4220148-f049-4515-a20c-3fa8273abce5,Lopes,Apartamento,Salinas,Outro,Não,Não,109,3,3,2,850.0,1050000.0,2025-04-23 23:07:03.115754
249a39ad-df70-4924-af0a-b4ab67a3a0c0,Lopes,Apartamento,Cocó,SER7,Não,Não,80,3,3,2,1287.0,850000.0,2025-04-23 23:07:03.115754
c9cc14a1-9bc2-4499-9df5-b4f8d5fa8c58,Lopes,Apartamento,Meireles,SER2,Sim,Sim,128,3,4,3,1442.0,1090000.0,2025-04-23 23:07:03.115754
b777d0d7-0507-461d-918e-f09e8c6b3ed2,Lopes,Apartamento,Aldeota,SER2,Sim,Não,212,4,5,2,1480.0,700000.0,2025-04-23 23:07:03.115754
c6c193b0-0241-4f98-933b-05ffdae118d6,Lopes,Apartamento,Cocó,SER7,Não,Não,131,3,5,3,0.0,1490000.0,2025-04-23 23:07:03.115754
9ee5ef73-3ba3-49f8-a2e2-c59ab4c59677,Lopes,Apartamento,de Lourdes,SER2,Não,Não,88,2,3,2,740.0,900000.0,2025-04-23 23:07:03.115754
edfa66d8-45df-47cd-b5ca-45b74be6098c,Lopes,Apartamento,Meireles,SER2,Sim,Sim,354,5,6,4,2500.0,3700000.0,2025-04-23 23:07:03.115754
22868c2e-0fd6-49d6-8a99-c370727885dd,Lopes,Apartamento,Meireles,SER2,Sim,Sim,305,4,5,4,3300.0,1999000.0,2025-04-23 23:07:03.115754
648d2569-7c53-4a65-ad24-8906e9053615,Lopes,Apartamento,Meireles,SER2,Sim,Sim,189,3,4,3,2800.0,1600000.0,2025-04-23 23:07:03.115754
ecf53473-28c3-4b32-afcc-14295f7c9c2e,Lopes,Apartamento,Presidente Kennedy,SER3,Não,Não,87,3,3,4,3165.0,750000.0,2025-04-23 23:07:03.115754
688efa62-0a30-4f31-9c14-e3fcf8425ec2,Lopes,Cobertura,Dionisio Torres,SER2,Não,Não,458,4,5,3,2600.0,2100000.0,2025-04-23 23:07:03.115754
400b2fc9-4eff-4405-9b88-8d62e0cc4ee5,Lopes,Apartamento,Meireles,SER2,Sim,Sim,310,4,6,5,4100.0,3500000.0,2025-04-23 23:07:03.115754
31c95841-bfd0-4366-9468-06d44d6d446c,Lopes,Apartamento,Meireles,SER2,Sim,Sim,225,3,5,4,2500.0,2800000.0,2025-04-23 23:07:03.115754
2439979b-5cdf-4562-914d-acaca75d9433,Lopes,Apartamento,Fátima,SER4,Não,Não,130,3,5,3,1501.0,1450000.0,2025-04-23 23:07:03.115754
aad73c2c-fda4-4922-a987-b36f8760f8c9,Lopes,Apartamento,Meireles,SER2,Sim,Sim,325,4,6,5,7500.0,4700000.0,2025-04-23 23:07:03.115754
fd51d153-6ca7-47d1-bd38-04ea019ad331,Lopes,Apartamento,Parquelândia,SER3,Não,Não,109,3,3,2,1100.0,460000.0,2025-04-23 23:07:03.115754
